occurtime,power
2021-01-17_12:40:00,3.44
2021-01-17_12:45:00,3.44
2021-01-17_12:50:00,3.44
2021-01-17_12:55:00,3.44
2021-01-17_13:00:00,3.44
2021-01-17_13:05:00,3.44
2021-01-17_13:10:00,3.52
2021-01-17_13:15:00,3.44
2021-01-17_13:20:00,3.36
2021-01-17_13:25:00,3.44
2021-01-17_13:30:00,3.42
2021-01-17_13:35:00,3.44
2021-01-17_13:40:00,3.44
2021-01-17_13:45:00,3.44
2021-01-17_13:50:00,3.36
2021-01-17_13:55:00,3.36
2021-01-17_14:00:00,3.41
2021-01-17_14:05:00,3.42
2021-01-17_14:10:00,3.44
2021-01-17_14:15:00,3.36
2021-01-17_14:20:00,3.44
2021-01-17_14:25:00,3.44
2021-01-17_14:30:00,3.44
2021-01-17_14:35:00,3.44
2021-01-17_14:40:00,3.44
2021-01-17_14:45:00,3.44
2021-01-17_14:50:00,3.44
2021-01-17_14:55:00,3.44
2021-01-17_15:00:00,3.44
2021-01-17_15:05:00,3.44
2021-01-17_15:10:00,3.41
2021-01-17_15:15:00,3.44
2021-01-17_15:20:00,3.44
2021-01-17_15:25:00,3.44
2021-01-17_15:30:00,3.44
2021-01-17_15:35:00,3.44
2021-01-17_15:40:00,3.44
2021-01-17_15:45:00,3.35
2021-01-17_15:50:00,3.44
2021-01-17_15:55:00,3.52
2021-01-17_16:00:00,3.52
2021-01-17_16:05:00,3.44
2021-01-17_16:10:00,3.52
2021-01-17_16:15:00,3.44
2021-01-17_16:20:00,3.52
2021-01-17_16:25:00,3.52
2021-01-17_16:30:00,3.52
2021-01-17_16:35:00,3.44
2021-01-17_16:40:00,3.44
2021-01-17_16:45:00,3.44
2021-01-17_16:50:00,3.44
2021-01-17_16:55:00,3.52
2021-01-17_17:00:00,3.44
2021-01-17_17:05:00,3.44
2021-01-17_17:10:00,3.44
2021-01-17_17:15:00,3.44
2021-01-17_17:20:00,3.44
2021-01-17_17:25:00,3.36
2021-01-17_17:30:00,3.44
2021-01-17_17:35:00,3.44
2021-01-17_17:40:00,3.36
2021-01-17_17:45:00,3.52
2021-01-17_17:50:00,3.44
2021-01-17_17:55:00,3.52
2021-01-17_18:00:00,3.44
2021-01-17_18:05:00,3.44
2021-01-17_18:10:00,3.44
2021-01-17_18:15:00,3.44
2021-01-17_18:20:00,3.44
2021-01-17_18:25:00,3.44
2021-01-17_18:30:00,3.44
2021-01-17_18:35:00,3.44
